"id";"satisfaction";"haveWant";"wantHave"
79366;6;0,810880829015544;0,954268292682927
69064;5;0,828715365239295;0,913888888888889
78526;5,6;0,856763925729443;0,859042553191489
86074;6;0,854166666666667;0,779891304347826
86152;5,2;0,853420195439739;0,71195652173913
86848;5;0,861271676300578;0,809782608695652
89179;5,8;0,738372093023256;0,755952380952381
89737;5,8;0,86039886039886;0,803191489361702
95182;6;0,778097982708934;0,803571428571429
95287;2,2;0,56271186440678;0,691666666666667
95491;2,4;0,757894736842105;0,710526315789474
95509;1;0,296428571428571;0,51875
95539;3;0,706766917293233;0,927631578947368
95767;3,8;0,725;0,763157894736842
95812;4,8;0,799498746867168;0,972560975609756
95926;3,4;0,6657824933687;0,950757575757576
96004;3,6;0,626315789473684;0,875
96145;4,8;0,814814814814815;0,855555555555556
96181;4,4;0,781002638522427;0,86046511627907
96412;5,8;0,780722891566265;0,941860465116279
96445;3,4;0,742547425474255;0,796511627906977
96763;4,8;0,706896551724138;0,831081081081081
96895;4,4;0,760765550239234;0,883333333333333
97324;6;0,796526054590571;0,955357142857143
98674;2,4;0,700251889168766;0,86875
98692;5,4;0,825268817204301;0,799479166666667
98698;4,6;0,784974093264249;0,860795454545455
78991;6,2;0,825352112676056;0,851744186046512
86566;5,6;0,837270341207349;0,886111111111111
86863;6;0,765237020316027;0,963068181818182
89650;4;0,688888888888889;0,645833333333333
95050;1,6;0,75609756097561;0,850609756097561
95155;2;0,587939698492462;0,943548387096774
95188;3,2;0,810495626822157;0,939189189189189
95701;5;0,711779448621554;0,934210526315789
95794;6;0,707207207207207;0,93452380952381
95830;4;0,709239130434783;0,795731707317073
95914;6,4;0,797260273972603;0,88719512195122
95974;5,8;0,736363636363636;0,759375
96487;4,8;0,721448467966574;0,851973684210526
96559;4;0,77023498694517;0,819444444444444
96757;5,6;0,743455497382199;0,865853658536585
96817;2,6;0,677725118483412;0,916666666666667
97330;4;0,702127659574468;0,740384615384615
97462;5;0,844380403458213;0,832386363636364
97651;5,2;0,914285714285714;0,888888888888889
97837;3;0,681592039800995;0,901315789473684
98746;4,8;0,729442970822281;0,838414634146341
84931;5,2;0,824324324324324;0,828804347826087
86548;5,4;0,769620253164557;0,883720930232558
95143;3,8;0,765625;0,854651162790698
95149;2,2;0,692708333333333;0,810975609756098
95437;2,6;0,52987012987013;0,85
95566;5,2;0,804597701149425;0,853658536585366
95623;5,4;0,837696335078534;0,909090909090909
95638;5,6;0,860406091370558;0,941666666666667
95647;5,8;0,755376344086022;0,836309523809524
95746;7;0,803827751196172;0,954545454545455
95758;5,4;0,847761194029851;0,806818181818182
95797;4;0,793388429752066;0,837209302325581
95851;4,6;0,836363636363636;0,766666666666667
95917;4,4;0,785326086956522;0,802777777777778
95938;4;0,772727272727273;0,918918918918919
95959;5,4;0,736694677871149;0,801829268292683
95968;3,2;0,721179624664879;0,840625
96091;5,4;0,746268656716418;0,872093023255814
96205;5,8;0,819951338199513;0,877604166666667
96463;5,2;0,774647887323944;0,9375
96556;5,8;0,749303621169916;0,764204545454545
96640;5,2;0,785907859078591;0,863095238095238
96790;3;0,738562091503268;0,70625
96901;5,6;0,816720257234727;0,79375
96925;5,6;0,8544474393531;0,900568181818182
96949;5,4;0,775956284153005;0,845238095238095
97210;3;0,64;0,764705882352941
97309;6,2;0,70076726342711;0,925675675675676
97387;5,2;0,742574257425743;0,760135135135135
97405;3,8;0,790502793296089;0,842261904761905
97597;6,4;0,790769230769231;0,803125
97606;3;0,746987951807229;0,738095238095238
98782;4,4;0,746268656716418;0,868055555555556
98860;6,4;0,837772397094431;0,940217391304348
98881;5,4;0,763848396501458;0,83974358974359
98893;6,4;0,804804804804805;0,797619047619048
78172;5,4;0,83419689119171;0,821428571428571
79375;5,6;0,82089552238806;0,763888888888889
79642;5,6;0,819277108433735;0,755555555555556
85720;5,6;0,769028871391076;0,87202380952381
85837;5,4;0,747448979591837;0,893292682926829
85876;6,4;0,706467661691542;0,8875
86011;6;0,829545454545455;0,829545454545455
86023;4;0,759562841530055;0,827380952380952
86362;6,6;0,760191846522782;0,880555555555556
87019;4;0,733167082294264;0,91875
87604;5,4;0,720547945205479;0,782738095238095
92575;5,8;0,842892768079801;0,960227272727273
95101;5,8;0,889196675900277;0,955357142857143
95137;4,6;0,792717086834734;0,822674418604651
95296;3;0,741839762611276;0,801282051282051
95323;4,2;0,740963855421687;0,76875
95677;3,2;0,792507204610951;0,78125
95707;5,6;0,809876543209877;0,872340425531915
95725;6,2;0,713157894736842;0,868589743589744
96127;5,4;0,738903394255875;0,842261904761905
96460;5,2;0,814180929095355;0,849489795918367
96481;4,4;0,73314606741573;0,776785714285714
96727;5,2;0,774881516587678;0,928977272727273
96823;5,8;0,766331658291457;0,847222222222222
96922;6,6;0,749333333333333;0,856707317073171
97057;3,4;0,73109243697479;0,741477272727273
97372;6,2;0,795969773299748;0,963414634146341
